From Date,CO,Ozone
08-07-2020 16:00,1.37,43.33
09-07-2020 0:00,0.83,22.64
09-07-2020 8:00,1.05,21.32
09-07-2020 16:00,0.84,35.14
10-07-2020 0:00,1.19,23.8
10-07-2020 8:00,0.55,30.26
10-07-2020 16:00,0.41,30.6
11-07-2020 0:00,0.61,25.88
11-07-2020 8:00,0.55,39.16
11-07-2020 16:00,0.48,40.45
12-07-2020 0:00,0.26,25.63
12-07-2020 8:00,0.31,34.59
12-07-2020 16:00,0.45,35.24
13-07-2020 00:00,0.69,23.76
13-07-2020 08:00,0.64,37.62
13-07-2020 16:00,1.15,38.56
14-07-2020 00:00,0.48,23.75
14-07-2020 08:00,0.95,30.39
14-07-2020 16:00,1.13,29.16
15-07-2020 00:00,0.92,24.37
15-07-2020 08:00,0.58,28.99
15-07-2020 16:00,0.41,29.28
16-07-2020 00:00,0.5,25.6
16-07-2020 08:00,0.5,25.48
16-07-2020 16:00,0.48,24.86
17-07-2020 00:00,0.5,22.2
17-07-2020 08:00,0.5,26.22
17-07-2020 16:00,0.5,31.85
18-07-2020 00:00,0.51,22.47
18-07-2020 08:00,0.5,28.73
18-07-2020 16:00,0.5,29.29
19-07-2020 00:00,0.5,22.27
19-07-2020 08:00,0.51,22.71
19-07-2020 16:00,0.47,21.71
20-07-2020 00:00,0.4,22
20-07-2020 08:00,1.92,35.57
20-07-2020 16:00,0.83,38.74
21-07-2020 00:00,0.31,22.97
21-07-2020 08:00,0.36,32.29
21-07-2020 16:00,0.4,35.59
22-07-2020 00:00,0.4,25.91
22-07-2020 08:00,0.33,32.68
22-07-2020 16:00,0.34,34.63
23-07-2020 00:00,0.4,26.21
23-07-2020 08:00,0.48,37.61
23-07-2020 16:00,0.61,43.08
24-07-2020 00:00,0.42,27.01
24-07-2020 08:00,0.44,31.99
24-07-2020 16:00,0.6,34.22
25-07-2020 00:00,0.61,34.53
25-07-2020 08:00,0.67,36.98
25-07-2020 16:00,0.61,45.24
26-07-2020 00:00,0.48,25.94
26-07-2020 08:00,0.46,29.06
26-07-2020 16:00,0.43,30.07
27-07-2020 00:00,0.36,21.99
27-07-2020 08:00,0.37,29.99
27-07-2020 16:00,0.38,36.2
28-07-2020 00:00,0.41,26.07
28-07-2020 08:00,0.61,35.98
28-07-2020 16:00,0.52,41.3
